128 128
-144.3214000 -111.4671000 -1100.0000000
-142.5273776 -111.4671000 -1100.0000000
-140.7333551 -111.4671000 -1100.0000000
-138.9393327 -111.4671000 -1100.0000000
-137.1453102 -111.4671000 -1100.0000000
-135.3512878 -111.4671000 -1100.0000000
-133.5572654 -111.4671000 -1100.0000000
-131.7632429 -111.4671000 -1100.0000000
-129.9692205 -111.4671000 -1100.0000000
-128.1751980 -111.4671000 -1100.0000000
-126.3811756 -111.4671000 -1100.0000000
-124.5871531 -111.4671000 -1100.0000000
-122.7931307 -111.4671000 -1100.0000000
-120.9991083 -111.4671000 -1100.0000000
-119.2050858 -111.4671000 -1100.0000000
-117.4110634 -111.4671000 -1100.0000000
-115.6170409 -111.4671000 -1100.0000000
-113.8230185 -111.4671000 -1100.0000000
-112.0289961 -111.4671000 -1100.0000000
-110.2349736 -111.4671000 -1100.0000000
-108.4409512 -111.4671000 -1100.0000000
-106.6469287 -111.4671000 -1100.0000000
-104.8529063 -111.4671000 -1100.0000000
-103.0588839 -111.4671000 -1100.0000000
-101.2648614 -111.4671000 -1100.0000000
-99.4708390 -111.4671000 -1100.0000000
-97.6768165 -111.4671000 -1100.0000000
-95.8827941 -111.4671000 -1100.0000000
-94.0887717 -111.4671000 -1100.0000000
-92.2947492 -111.4671000 -1100.0000000
-90.5007268 -111.4671000 -1100.0000000
-88.7067043 -111.4671000 -1100.0000000
-86.9126819 -111.4671000 -1100.0000000
-85.1186594 -111.4671000 -1100.0000000
-83.3246370 -111.4671000 -1100.0000000
-81.5306146 -111.4671000 -1100.0000000
-79.7365921 -111.4671000 -1100.0000000
-77.9425697 -111.4671000 -1100.0000000
-76.1485472 -111.4671000 -1100.0000000
-74.3545248 -111.4671000 -1100.0000000
-72.5605024 -111.4671000 -1100.0000000
-70.7664799 -111.4671000 -1100.0000000
-68.9724575 -111.4671000 -1100.0000000
-67.1784350 -111.4671000 -1100.0000000
-65.3844126 -111.4671000 -1100.0000000
-63.5903902 -111.4671000 -1100.0000000
-61.7963677 -111.4671000 -1100.0000000
-60.0023453 -111.4671000 -1100.0000000
-58.2083228 -111.4671000 -1100.0000000
-56.4143004 -111.4671000 -1100.0000000
-54.6202780 -111.4671000 -1100.0000000
-52.8262555 -111.4671000 -1100.0000000
-51.0322331 -111.4671000 -1100.0000000
-49.2382106 -111.4671000 -1100.0000000
-47.4441882 -111.4671000 -1100.0000000
-45.6501657 -111.4671000 -1100.0000000
-43.8561433 -111.4671000 -1100.0000000
-42.0621209 -111.4671000 -1100.0000000
-40.2680984 -111.4671000 -1100.0000000
-38.4740760 -111.4671000 -1100.0000000
-36.6800535 -111.4671000 -1100.0000000
-34.8860311 -111.4671000 -1100.0000000
-33.0920087 -111.4671000 -1100.0000000
-31.2979862 -111.4671000 -1100.0000000
-29.5039638 -111.4671000 -1100.0000000
-27.7099413 -111.4671000 -1100.0000000
-25.9159189 -111.4671000 -1100.0000000
-24.1218965 -111.4671000 -1100.0000000
-22.3278740 -111.4671000 -1100.0000000
-20.5338516 -111.4671000 -1100.0000000
-18.7398291 -111.4671000 -1100.0000000
-16.9458067 -111.4671000 -1100.0000000
-15.1517843 -111.4671000 -1100.0000000
-13.3577618 -111.4671000 -1100.0000000
-11.5637394 -111.4671000 -1100.0000000
-9.7697169 -111.4671000 -1100.0000000
-7.9756945 -111.4671000 -1100.0000000
-6.1816720 -111.4671000 -1100.0000000
-4.3876496 -111.4671000 -1100.0000000
-2.5936272 -111.4671000 -1100.0000000
-0.7996047 -111.4671000 -1100.0000000
0.9944177 -111.4671000 -1100.0000000
2.7884402 -111.4671000 -1100.0000000
4.5824626 -111.4671000 -1100.0000000
6.3764850 -111.4671000 -1100.0000000
8.1705075 -111.4671000 -1100.0000000
9.9645299 -111.4671000 -1100.0000000
11.7585524 -111.4671000 -1100.0000000
13.5525748 -111.4671000 -1100.0000000
15.3465972 -111.4671000 -1100.0000000
17.1406197 -111.4671000 -1100.0000000
18.9346421 -111.4671000 -1100.0000000
20.7286646 -111.4671000 -1100.0000000
22.5226870 -111.4671000 -1100.0000000
24.3167094 -111.4671000 -1100.0000000
26.1107319 -111.4671000 -1100.0000000
27.9047543 -111.4671000 -1100.0000000
29.6987768 -111.4671000 -1100.0000000
31.4927992 -111.4671000 -1100.0000000
33.2868217 -111.4671000 -1100.0000000
