128 128
-87.958845  -0.008478 -835.231425
-86.965310  -0.115844 -835.194531
-85.971775  -0.223210 -835.157638
-84.978240  -0.330577 -835.120744
-83.984706  -0.437943 -835.083851
-82.991171  -0.545309 -835.046958
-81.997636  -0.652675 -835.010064
-81.004101  -0.760042 -834.973171
-80.010567  -0.867408 -834.936277
-79.017032  -0.974774 -834.899384
-78.023497  -1.082141 -834.862491
-77.029962  -1.189507 -834.825597
-76.036427  -1.296873 -834.788704
-75.042893  -1.404239 -834.751810
-74.049358  -1.511606 -834.714917
-73.055823  -1.618972 -834.678024
-72.062288  -1.726338 -834.641130
-71.068754  -1.833705 -834.604237
-70.075219  -1.941071 -834.567343
-69.081684  -2.048437 -834.530450
-68.088149  -2.155803 -834.493557
-67.094614  -2.263170 -834.456663
-66.101080  -2.370536 -834.419770
-65.107545  -2.477902 -834.382876
-64.114010  -2.585269 -834.345983
-63.120475  -2.692635 -834.309090
-62.126941  -2.800001 -834.272196
-61.133406  -2.907367 -834.235303
-60.139871  -3.014734 -834.198409
-59.146336  -3.122100 -834.161516
-58.152801  -3.229466 -834.124623
-57.159267  -3.336833 -834.087729
-56.165732  -3.444199 -834.050836
-55.172197  -3.551565 -834.013942
-54.178662  -3.658931 -833.977049
-53.185128  -3.766298 -833.940155
-52.191593  -3.873664 -833.903262
-51.198058  -3.981030 -833.866369
-50.204523  -4.088397 -833.829475
-49.210988  -4.195763 -833.792582
-48.217454  -4.303129 -833.755688
-47.223919  -4.410495 -833.718795
-46.230384  -4.517862 -833.681902
-45.236849  -4.625228 -833.645008
-44.243315  -4.732594 -833.608115
-43.249780  -4.839961 -833.571221
-42.256245  -4.947327 -833.534328
-41.262710  -5.054693 -833.497435
-40.269175  -5.162059 -833.460541
-39.275641  -5.269426 -833.423648
-38.282106  -5.376792 -833.386754
-37.288571  -5.484158 -833.349861
-36.295036  -5.591525 -833.312968
-35.301502  -5.698891 -833.276074
-34.307967  -5.806257 -833.239181
-33.314432  -5.913623 -833.202287
-32.320897  -6.020990 -833.165394
-31.327362  -6.128356 -833.128501
-30.333828  -6.235722 -833.091607
-29.340293  -6.343089 -833.054714
-28.346758  -6.450455 -833.017820
-27.353223  -6.557821 -832.980927
-26.359689  -6.665187 -832.944034
-25.366154  -6.772554 -832.907140
-24.372619  -6.879920 -832.870247
-23.379084  -6.987286 -832.833353
-22.385549  -7.094653 -832.796460
-21.392015  -7.202019 -832.759567
-20.398480  -7.309385 -832.722673
-19.404945  -7.416751 -832.685780
-18.411410  -7.524118 -832.648886
-17.417875  -7.631484 -832.611993
-16.424341  -7.738850 -832.575100
-15.430806  -7.846217 -832.538206
-14.437271  -7.953583 -832.501313
-13.443736  -8.060949 -832.464419
-12.450202  -8.168315 -832.427526
-11.456667  -8.275682 -832.390632
-10.463132  -8.383048 -832.353739
 -9.469597  -8.490414 -832.316846
 -8.476062  -8.597781 -832.279952
 -7.482528  -8.705147 -832.243059
 -6.488993  -8.812513 -832.206165
